2008 Post Season top 14 players
#,Player Name,Points Per Game,Rebounds Per Game, Assists Per Game
1,Kobe Bryant,30.1,5.7,5.6
2,LeBron James,28.2,7.8,7.6
3,Tracy McGrady,27.0,8.2,6.8
4,Dirk Nowitzki,26.8,12.0,4.0
5,Allen Iverson,24.5,3.0,4.5
6,Chris Paul,24.1,4.9,11.3
7,Chris Bosh,24.0,9.0,3.6
8,Amar'e Stoudemire,23.2,9.0,0.4
9,Carmelo Anthony,22.5,9.5,2.0
10,Tony Parker,22.4,3.7,6.1
11,Richard Hamilton,21.6,4.2,3.9
12,Deron Williams,21.6,3.6,10.0
13,David West,21.2,8.5,2.8
14,Kevin Garnett,20.4,10.5,3.3
